reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weaknesses,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,characters-arc,characters-role,characters-weakness,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-content,characters-content,plot-content,setting-content
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,0,85.0,90.0,95.0,80.0,85.0,90.0,85.0,80.0,85.0,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1,85.0,90.0,90.0,85.0,80.0,85.0,80.0,75.0,80.0,95.0,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,2,90.0,100.0,95.0,81.25,90.0,90.0,95.0,85.0,90.0,,85.0,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,3,85.0,90.0,95.0,80.0,85.0,90.0,85.0,80.0,85.0,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,4,85.0,70.0,90.0,80.0,85.0,80.0,75.0,70.0,75.0,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,average,86.0,88.0,93.0,81.25,85.0,87.0,84.0,78.0,83.0,95.0,85.0,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,0,85.0,90.0,95.0,80.0,85.0,90.0,85.0,80.0,85.0,,,85.0,90.0,85.0,90.0,80.0,85.0,80.0,85.0,70.0,80.0,75.0,90.0,80.0,85.0,70.0,75.0,70.0,empty,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1,85.0,90.0,90.0,85.0,80.0,85.0,80.0,75.0,80.0,95.0,,75.0,85.0,80.0,90.0,75.0,70.0,65.0,70.0,60.0,75.0,75.0,80.0,70.0,75.0,65.0,70.0,85.0,empty,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,2,90.0,100.0,95.0,,90.0,90.0,95.0,85.0,90.0,,85.0,85.0,90.0,85.0,80.0,75.0,85.0,80.0,85.0,70.0,90.0,75.0,90.0,70.0,85.0,80.0,75.0,80.0,empty,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,3,85.0,90.0,95.0,80.0,85.0,90.0,85.0,80.0,85.0,,,75.0,90.0,85.0,80.0,75.0,70.0,65.0,70.0,60.0,75.0,80.0,90.0,75.0,85.0,70.0,85.0,90.0,empty,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,4,85.0,70.0,90.0,80.0,85.0,80.0,75.0,70.0,75.0,,,85.0,90.0,85.0,90.0,80.0,85.0,80.0,85.0,75.0,85.0,85.0,90.0,80.0,85.0,75.0,90.0,85.0,empty,,,
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,5,86.0,88.0,93.0,,85.0,87.0,84.0,78.0,83.0,,,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,empty,empty,empty,empty
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,6,86.0,88.0,93.0,,85.0,87.0,84.0,78.0,83.0,,,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,empty,empty,empty,empty
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,7,86.0,88.0,93.0,,85.0,87.0,84.0,78.0,83.0,,,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,empty,empty,empty,empty
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,8,86.0,88.0,93.0,,85.0,87.0,84.0,78.0,83.0,,,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,empty,empty,empty,empty
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,9,86.0,88.0,93.0,,85.0,87.0,84.0,78.0,83.0,,,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,empty,empty,empty,empty
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,average,86.0,88.0,93.0,81.25,85.0,87.0,84.0,78.0,83.0,95.0,85.0,81.0,89.0,84.0,86.0,77.0,79.0,74.0,79.0,67.0,81.0,78.0,88.0,75.0,83.0,72.0,79.0,82.0,,,,
